Bra026869.1-P	Bra026869
Bra019697.1-P	Bra019697
Bra024780.1-P	Bra024780
Bra016716.1-P	Bra016716
Bra000064.1-P	Bra000064
Bra017117.1-P	Bra017117
Bra005104.1-P	Bra005104
Bra026554.1-P	Bra026554
Bra026414.1-P	Bra026414
Bra028971.1-P	Bra028971
Bra010431.1-P	Bra010431
Bra039147.1-P	Bra039147
Bra013187.1-P	Bra013187
Bra019095.1-P	Bra019095
Bra028939.1-P	Bra028939
Bra001023.1-P	Bra001023
Bra026438.1-P	Bra026438
Bra019105.1-P	Bra019105
Bra002828.1-P	Bra002828
Bra028707.1-P	Bra028707
Bra023112.1-P	Bra023112
Bra005210.1-P	Bra005210
Bra018325.1-P	Bra018325
Bra021623.1-P	Bra021623
Bra022786.1-P	Bra022786
Bra010266.1-P	Bra010266
Bra024035.1-P	Bra024035
Bra040926.1-P	Bra040926
Bra008858.1-P	Bra008858
Bra012614.1-P	Bra012614
Bra032340.1-P	Bra032340
Bra010032.1-P	Bra010032
Bra033956.1-P	Bra033956
Bra038313.1-P	Bra038313
Bra004285.1-P	Bra004285
Bra010839.1-P	Bra010839
Bra021393.1-P	Bra021393
Bra006178.1-P	Bra006178
Bra027057.1-P	Bra027057
Bra032300.1-P	Bra032300
Bra020628.1-P	Bra020628
Bra029491.1-P	Bra029491
Bra006283.1-P	Bra006283
Bra023505.1-P	Bra023505
Bra004370.1-P	Bra004370
Bra036315.1-P	Bra036315
Bra027675.1-P	Bra027675
Bra027768.1-P	Bra027768
Bra025490.1-P	Bra025490
Bra004466.1-P	Bra004466
Bra005388.1-P	Bra005388
Bra013584.1-P	Bra013584
Bra036138.1-P	Bra036138
Bra021934.1-P	Bra021934
Bra030178.1-P	Bra030178
Bra013779.1-P	Bra013779
Bra013289.1-P	Bra013289
Bra026228.1-P	Bra026228
Bra004002.1-P	Bra004002
Bra041029.1-P	Bra041029
Bra040557.1-P	Bra040557
Bra022033.1-P	Bra022033
Bra025021.1-P	Bra025021
Bra032174.1-P	Bra032174
Bra007674.1-P	Bra007674
Bra037368.1-P	Bra037368
Bra022612.1-P	Bra022612
Bra031053.1-P	Bra031053
Bra040396.1-P	Bra040396
Bra022808.1-P	Bra022808
Bra001117.1-P	Bra001117
Bra021652.1-P	Bra021652
Bra010005.1-P	Bra010005
Bra018303.1-P	Bra018303
Bra032084.1-P	Bra032084
Bra011861.1-P	Bra011861
Bra008719.1-P	Bra008719
Bra000793.1-P	Bra000793
Bra020617.1-P	Bra020617
Bra010231.1-P	Bra010231
Bra000362.1-P	Bra000362
Bra023998.1-P	Bra023998
Bra033616.1-P	Bra033616
Bra019123.1-P	Bra019123
Bra017561.1-P	Bra017561
Bra010683.1-P	Bra010683
Bra011299.1-P	Bra011299
Bra020546.1-P	Bra020546
Bra040505.1-P	Bra040505
Bra019239.1-P	Bra019239
Bra011282.1-P	Bra011282
Bra016535.1-P	Bra016535
Bra027480.1-P	Bra027480
Bra004864.1-P	Bra004864
Bra023983.1-P	Bra023983
Bra014556.1-P	Bra014556
Bra009885.1-P	Bra009885
Bra035148.1-P	Bra035148
Bra007413.1-P	Bra007413
Bra010220.1-P	Bra010220
Bra008435.1-P	Bra008435
Bra020814.1-P	Bra020814
Bra019297.1-P	Bra019297
Bra016975.1-P	Bra016975
Bra037106.1-P	Bra037106
Bra019265.1-P	Bra019265
Bra030847.1-P	Bra030847
Bra000203.1-P	Bra000203
Bra007884.1-P	Bra007884
Bra013732.1-P	Bra013732
Bra013708.1-P	Bra013708
Bra016974.1-P	Bra016974
Bra003588.1-P	Bra003588
Bra000423.1-P	Bra000423
Bra004586.1-P	Bra004586
Bra026467.1-P	Bra026467
Bra016263.1-P	Bra016263
Bra031221.1-P	Bra031221
Bra033158.1-P	Bra033158
Bra038006.1-P	Bra038006
Bra030273.1-P	Bra030273
Bra000202.1-P	Bra000202
Bra030848.1-P	Bra030848
Bra003239.1-P	Bra003239
Bra014693.1-P	Bra014693
Bra004540.1-P	Bra004540
Bra024328.1-P	Bra024328
Bra031900.1-P	Bra031900
Bra007243.1-P	Bra007243
Bra037796.1-P	Bra037796
Bra014692.1-P	Bra014692
Bra009734.1-P	Bra009734
Bra028918.1-P	Bra028918
Bra025693.1-P	Bra025693
Bra023211.1-P	Bra023211
Bra008459.1-P	Bra008459
Bra014426.1-P	Bra014426
Bra008454.1-P	Bra008454
Bra034482.1-P	Bra034482
Bra020197.1-P	Bra020197
Bra020196.1-P	Bra020196
Bra002421.1-P	Bra002421
Bra036563.1-P	Bra036563
Bra008456.1-P	Bra008456
Bra037637.1-P	Bra037637
Bra015240.1-P	Bra015240
